season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2025,10,BUF,REG,2025_10_BUF_MIA,MIA,28,40,306,2,1,3,-17,0,0,404,114,12,4.18633139254246,7.70525680138515,0,22,87,0,2,2,4,-9.04641274077585,0,28,39,306,2,0,0,404,114,12,6.71361091935262,0,0,31,1,23,6,16,0,0,0,2,2,1,4,0,0,0,0,0,0,0,0,0,6,67,3,1,7,4,93,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0,0,1,0,0,0,0,0
2025,10,MIA,REG,2025_10_BUF_MIA,BUF,15,21,173,2,2,0,0,0,0,188,89,9,9.00747013627551,5.90169969059172,0,32,197,2,0,0,9,6.9206625516911,0,15,21,173,2,0,0,188,89,9,9.00747013627551,0,0,45,2,24,6,18,2,3,17,7,1,0,4,0,0,0,0,0,0,2,2,0,5,35,4,1,13,1,24,1,1,0,0,46,1,0,0,0,1,0,0,0,0,0,0,0,0,46,,,46,0,0,3,4,1,0,0.75,0,0,0,0,0
2025,11,NE,REG,2025_11_NYJ_NE,NYJ,25,34,281,1,0,1,-10,0,0,399,94,16,12.2460381386528,13.5397071188146,0,27,65,2,0,0,4,-2.23454003101717,0,25,33,281,1,0,0,399,94,16,15.1443713807577,0,0,40,0,18,3,13,0,2,11,6,0,0,5,0,0,0,0,0,0,1,1,0,2,20,3,0,0,3,68,2,3,1,0,44,0.666666666666667,0,1,0,1,0,0,0,0,0,1,0,0,44;26,45,,70,45,0,3,3,0,0,1,0,0,0,0,0
2025,11,NYJ,REG,2025_11_NYJ_NE,NE,15,27,116,1,0,2,-11,0,0,211,43,5,-8.23293130769162,-7.06599583992591,0,28,140,1,1,1,11,3.38238024996826,0,15,26,116,1,0,0,211,43,5,-3.57567153847776,0,0,36,1,29,4,18,0,1,10,4,0,0,3,0,0,0,0,0,1,0,0,0,7,62,5,3,18,4,95,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0
2025,14,MIA,REG,2025_14_MIA_NYJ,NYJ,13,21,127,1,0,1,-8,0,0,95,76,8,1.66339083007188,-9.18920863242376,0,41,239,3,1,0,15,10.9486778624342,0,13,21,127,1,0,0,95,76,8,3.57335997503833,0,0,27,1,29,7,36,1,6,27,8,3,5,9,0,0,0,0,1,1,0,0,0,5,54,2,2,32,3,76,2,2,0,0,53,1,0,0,0,1,1,0,0,0,0,0,0,0,43;53,,,96,0,0,4,4,0,0,1,0,0,0,0,0
2025,14,NYJ,REG,2025_14_MIA_NYJ,MIA,15,34,169,0,3,6,-27,1,0,289,87,8,-24.1542394280056,-20.353386644274,0,17,65,0,1,0,4,-1.6576079291408,0,15,32,169,0,0,0,289,87,8,-13.6354436876806,0,1,31,2,44,7,20,0,1,8,3,0,0,6,0,0,0,0,3,4,0,0,0,6,50,5,3,91,3,102,1,1,0,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,1,1,0,0,1,0,0,0,0,0
2025,15,BUF,REG,2025_15_BUF_NE,NE,19,28,193,3,0,2,-12,0,0,270,102,11,9.45444467643392,10.389750966659,0,37,168,2,0,0,9,3.45331100860494,0,19,26,193,3,0,0,270,102,11,13.6476196567237,0,0,34,1,19,5,23,1,3,16,5,1,0,3,0,0,0,0,0,0,0,0,0,2,15,2,1,12,4,164,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,5,0,0,1,0,0,0,0,0
2025,15,NE,REG,2025_15_BUF_NE,BUF,14,23,155,0,1,3,-16,0,0,244,68,7,-3.40510795099544,-0.531536882573908,0,25,246,4,0,0,13,15.8642982689676,0,14,22,155,0,1,0,244,68,7,1.93564412769047,0,0,34,3,41,5,15,0,2,12,4,0,0,4,0,1,0,0,1,1,0,0,0,7,65,6,2,5,4,97,1,1,0,0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,36,,,36,0,0,4,4,0,0,1,0,0,0,0,0
2025,17,NE,REG,2025_17_NE_NYJ,NYJ,22,25,286,5,0,1,-1,0,0,220,137,16,28.1174342208676,26.035621881485,0,36,155,1,0,0,9,1.14120747940615,0,22,25,286,5,0,0,220,137,16,28.8829422930855,0,0,37,1,27,5,23,0,1,12,5,1,0,3,0,0,0,0,0,0,0,0,0,2,20,3,0,0,3,77,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,41,,0,41,0,6,6,0,0,1,0,0,0,0,0
2025,17,NYJ,REG,2025_17_NE_NYJ,NE,20,34,155,0,1,1,-12,0,0,150,98,6,-12.2993907788052,-5.962891317904,0,28,164,1,0,0,8,-0.194025617965963,0,20,32,155,0,0,0,150,98,6,-10.0015050484664,0,0,39,2,26,5,7,0,1,1,3,0,0,2,0,0,0,0,1,2,0,0,0,5,53,4,0,0,4,114,1,1,0,0,39,1,0,0,1,0,0,0,0,0,0,0,0,0,39,,,39,0,0,1,1,0,0,1,0,0,0,0,0
2025,18,BUF,REG,2025_18_NYJ_BUF,NYJ,22,29,259,4,0,0,0,0,0,199,120,16,22.4849790778828,12.694396504334,1,43,211,1,0,0,13,-1.18959453652496,0,22,28,259,4,0,0,199,120,16,24.2335916284358,1,0,21,3,29,5,14,0,1,7,4,0,0,2,0,0,0,0,0,0,0,0,0,3,28,1,1,2,1,22,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2025,18,MIA,REG,2025_18_MIA_NE,NE,16,25,137,1,1,4,-20,0,0,160,89,7,-10.1004116802193,0.968720763921738,0,25,63,0,2,1,5,-8.48060325789265,0,16,24,137,1,0,0,160,89,7,-3.4287435696875,0,0,24,1,43,1,1,0,0,0,3,0,0,1,0,0,0,10,1,1,0,0,0,7,52,3,1,2,2,54,1,1,0,0,52,1,0,0,0,0,1,0,0,0,0,0,0,0,52,,,52,0,0,1,1,0,0,1,0,0,0,0,0
2025,18,NE,REG,2025_18_MIA_NE,MIA,17,22,214,1,0,0,0,0,0,257,118,8,8.79744142352181,21.2237948179245,0,34,243,4,0,0,12,6.78266680147499,0,17,20,214,1,0,0,257,118,8,9.26037233281403,0,0,32,2,28,10,45,2,4,20,9,1,0,4,0,0,0,0,0,0,1,1,0,4,52,4,0,0,2,51,1,2,0,1,59,0.5,0,0,0,0,1,0,0,0,0,0,0,0,59,,38,59,0,38,5,5,0,0,1,0,0,0,0,0
2025,18,NYJ,REG,2025_18_NYJ_BUF,BUF,11,22,60,1,0,1,-7,0,0,73,32,5,-6.33271967437747,-19.8908706957644,1,23,69,0,0,0,3,-5.69025789646548,0,11,22,60,1,0,0,73,32,5,-5.28935170346801,1,0,37,0,42,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,27,2,0,0,5,142,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0
2025,19,NE,POST,2025_19_LAC_NE,LAC,17,30,268,1,1,5,-33,2,1,265,136,12,-1.82567212385406,-5.26268162109234,0,29,146,0,0,0,7,-0.603850865038112,0,17,27,268,1,0,0,265,136,12,12.8697046251003,0,0,36,0,34,6,40,2,6,39,11,0,0,5,0,0,0,0,1,1,1,1,0,2,35,5,2,2,2,48,3,3,0,0,39,1,0,1,2,0,0,0,0,0,0,0,0,0,23;35;39,,,97,0,0,1,1,0,0,1,0,0,0,0,0
2025,20,NE,POST,2025_20_HOU_NE,HOU,16,27,179,3,1,5,-36,3,1,267,106,7,-7.95896602456924,-5.40897777447334,0,32,105,0,1,1,5,-10.7477227798081,0,16,26,179,3,0,0,267,106,7,3.32105336198583,0,0,37,1,29,6,25,1,3,19,9,4,26,14,1,0,0,0,2,2,1,1,0,3,48,4,4,53,4,89,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0
